name
nick pivetta
john schreiber
josh winckowski
kaleb ort
kutter crawford
hirokazu sawamura
garrett whitlock
matt barnes
nathan eovaldi
darwinzon hernandez
rich hill
ryan brasier
austin davis
yolmer sanchez
rafael devers
reese mcguire
tommy pham
kevin plawecki
xander bogaerts
alex verdugo
bobby dalbec
jaylin davis
jarren duran
jd martinez
eric hosmer
christian arroyo
trevor story
rob refsnyder
brayan bello
tyler danish
matt strahm
michael wacha
tanner houck
chris sale
josh taylor
james paxton
enrique hernandez
connor seabold
bryan mata
ronaldo hernandez
connor wong
franchy cordero
jeter downs
lucas luetge
jameson taillon
jonathan loaisiga
gerrit cole
frankie montas
domingo german
lou trivino
clay holmes
nestor cortes
aroldis chapman
scott effross
albert abreu
wandy peralta
marwin gonzalez
miguel andujar
aaron judge
kyle higashioka
josh donaldson
tim locastro
jose trevino
gleyber torres
isiah kinerfalefa
aaron hicks
andrew benintendi
dj lemahieu
anthony rizzo
harrison bader
giancarlo stanton
matt carpenter
zack britton
stephen ridings
miguel castro
chad green
michael king
luis severino
clarke schmidt
ron marinaccio
luis gil
deivi garcia
yoendrys gomez
ben rortvedt
oswald peraza
oswaldo cabrera
estevan florial
everson pereira
ryan yarbrough
jimmy yacabonis
jeffrey springs
jason adam
jalen beeks
pete fairbanks
ryan thompson
drew rasmussen
shane mcclanahan
corey kluber
colin poche
shawn armstrong
brooks raley
brandon lowe
roman quinn
randy arozarena
luke raley
taylor walls
yandy diaz
jose siri
yu chang
jiman choi
christian bethancourt
david peralta
francisco mejia
isaac paredes
wander franco
harold ramirez
josh fleming
matt wisler
andrew kittredge
yonny chirinos
brendan mckay
tyler glasnow
shane baz
jp feyereisen
nick anderson
jt chargois
mike zunino
manuel margot
kevin kiermaier
ralph garza
phoenix sanders
garrett cleavinger
calvin faucher
tommy romero
luis patino
rene pinto
vidal brujan
josh lowe
jonathan aranda
david phelps
kevin gausman
jose berrios
jordan romano
mitch white
trent thornton
trevor richards
yimi garcia
yusei kikuchi
zach pop
anthony bass
alek manoah
adam cimber
whit merrifield
vladimir guerrero jr
alejandro kirk
teoscar hernandez
santiago espinal
raimel tapia
matt chapman
lourdes gurriel jr
bradley zimmer
jackie bradley jr
cavan biggio
bo bichette
danny jansen
george springer
tim mayza
ross stripling
tayler saucedo
nate pearson
hyun jin ryu
julian merryweather
hagen danner
anthony kay
thomas hatch
foster griffin
matt gage
casey lawrence
zack collins
leo jimenez
vinny capra
gabriel moreno
otto lopez
nick vespi
jordan lyles
keegan akin
joey krehbiel
felix bautista
dillon tate
kyle bradish
dean kremer
louis head
cionel perez
bryan baker
austin voth
spenser watkins
ramon urias
adley rutschman
robinson chirinos
rougned odor
ryan mckenna
ryan mountcastle
terrin vavra
jorge mateo
tyler nevin
anthony santander
austin hays
brett phillips
cedric mullins
jonathan arauz
tyler wells
john means
travis lakins sr
alexander wells
chris ellis
rico garcia
bruce zimmermann
chris vallimont
mike baumann
dl hall
logan gillaspie
beau sulser
denyi reyes
yennier cano
richie martin
yusniel diaz
liam hendriks
jose ruiz
kendall graveman
lance lynn
johnny cueto
joe kelly
jimmy lambert
jake diekman
lucas giolito
dylan cease
matt foster
michael kopech
reynaldo lopez
josh harrison
leury garcia
luis robert
lenyn sosa
seby zavala
yasmani grandal
yoan moncada
jose abreu
adam engel
andrew vaughn
eloy jimenez
gavin sheets
aj pollock
tim anderson
kyle crick
vince velasquez
aaron bummer
garrett crochet
jonathan stiever
danny mendick
jason bilous
bennett sousa
anderson severino
tanner banks
tobias myers
yoan aybar
romy gonzalez
adam haseley
kris bubic
zack greinke
wyatt mills
scott barlow
luke weaver
josh staumont
jose cuas
jonathan heasley
joel payamps
dylan coleman
amir garrett
brady singer
brad keller
daniel lynch
michael a taylor
vinnie pasquantino
sebastian rivero
salvador perez
ryan ohearn
nicky lopez
nick pratto
nate eaton
michael massey
mj melendez
kyle isbel
bobby witt
hunter dozier
taylor clarke
